#{"t_start": 1583517820.114113, "env_id": null}
r,l,t
-2192.80707,200,121.787134
-2272.496912,200,123.252676
-2257.636912,200,124.80723
-2372.123499,200,128.482473
-2336.09779,200,131.250655
-2377.259999,200,134.10372
-2342.610468,200,135.856575
-2209.126026,200,137.77971
-2256.554748,200,139.721467
-2285.414414,200,142.108205
4176.956753,200,144.509223
57.878554,200,147.132068
-1370.182839,200,148.820785
-2162.287798,200,150.989491
4062.56773,200,152.953755
8596.496884,200,154.858199
-2175.179981,200,157.140743
-2175.501395,200,158.823068
-2165.502219,200,160.493914
-2225.238823,200,162.762968
-2142.434639,200,164.429503
-2200.918445,200,166.042969
-2156.282987,200,168.045485
-1395.563826,200,169.223168
-2123.908046,200,170.535567
1625.781752,200,171.890158
-1550.778591,200,173.602491
3050.358635,200,174.954035
7185.083493,200,176.370042
3277.274104,200,177.824647
3021.742566,200,179.610821
-1126.954131,200,181.115771
3303.871045,200,182.903101
5514.81938,200,184.536689
2284.837703,200,186.660483
2984.965618,200,188.179676
2000.869717,200,189.471865
4405.322095,200,191.234032
436.10496,200,192.422352
3889.246067,200,193.556699
515.396605,200,194.771776
-2154.869954,200,197.532996
-2154.954395,200,198.774693
-2209.272735,200,200.036589
-2215.083322,200,202.645929
2985.707645,200,204.28759
-2121.309102,200,206.780314
-2124.526891,200,209.825891
-1922.987893,200,212.241458
-2119.733804,200,214.18424
6965.732714,200,216.29976
3943.131466,200,218.556391
4751.662996,200,220.767997
5954.406595,200,222.943336
1788.284472,200,224.713506
6630.190914,200,226.500474
5521.799942,200,228.271794
-2106.939543,200,229.948195
1380.621379,200,231.807957
5506.125238,200,233.246269
884.005585,200,234.412563
-2103.673857,200,235.71334
-2093.89241,200,237.332626
-2167.637516,200,239.142949
-2172.777819,200,240.812432
-2117.117767,200,242.865561
-2115.31644,200,244.61772
-2167.771402,200,246.594402
-2152.530547,200,249.5618
9708.115308,200,251.543689
10373.71082,200,252.839711
-2084.843057,200,253.99276
2506.576498,200,256.201726
3863.403012,200,257.480513
1753.979403,200,258.943786
1533.221971,200,260.429646
1177.818598,200,262.375444
9823.694822,200,264.316678
-2091.371072,200,266.162418
2540.850971,200,267.901152
3190.229092,200,269.478812
565.672031,200,271.141697
2532.486167,200,273.344777
1123.968463,200,275.037487
4517.587718,200,276.730505
6303.861868,200,278.638811
452.094837,200,280.0735
101.528802,200,281.732807
649.360495,200,283.432316
3420.578546,200,285.631866
559.316798,200,287.261544
1322.089191,200,289.560196
987.651513,200,291.642045
2677.050173,200,293.151114
1195.35664,200,295.476843
1997.392969,200,297.345199
1331.885527,200,299.199886
767.038101,200,301.41187
977.200282,200,303.038118
5090.915927,200,304.605016
2428.935947,200,307.231319
2645.095489,200,308.895846
4209.998106,200,310.378103
3658.570521,200,312.481461
2884.137674,200,314.906542
10052.813793,200,316.813684
549.2996,200,319.030774
214.934734,200,320.487802
2311.823736,200,321.904899
1313.267081,200,323.121641
662.033324,200,324.384554
1338.792609,200,326.241958
2544.280566,200,328.130501
1768.478307,200,329.583909
1445.772326,200,331.307525
1759.553838,200,332.468782
210.307996,200,334.24158
3436.728659,200,335.683565
969.655385,200,337.330717
-543.240668,200,338.663344
1891.609496,200,340.234129
1991.924146,200,342.32763
87.135938,200,343.516143
-20.326197,200,344.749721
2300.461156,200,346.639879
594.799912,200,348.431382
-493.056432,200,349.887846
2478.185018,200,351.449553
-185.002772,200,352.862161
21.51152,200,354.405074
-916.824632,200,355.711886
139.816041,200,357.220444
1706.5135,200,358.695453
-171.286487,200,360.228813
-166.886049,200,361.933917
2.251343,200,363.256998
-329.841646,200,364.770735
-913.068778,200,366.638704
-505.932557,200,367.973587
-670.960837,200,369.275598
-771.689211,200,370.805535
789.597407,200,372.44807
-802.693877,200,373.687701
-655.871942,200,374.889714
-879.252374,200,376.708812
-678.286762,200,377.88454
-575.869595,200,379.225423
-450.259126,200,380.428577
-819.023474,200,384.042538
-660.316025,200,385.604515
-809.708742,200,387.020863
-597.625241,200,388.611448
-472.082416,200,389.949723
-785.61443,200,391.334762
-501.854538,200,392.77964
-688.964018,200,394.66661
-729.243431,200,395.957846
-515.57989,200,397.484526
-830.769522,200,398.739418
-838.582029,200,400.581795
-559.402763,200,402.023327
-832.97907,200,403.145308
-795.653288,200,404.391645
-523.952169,200,406.412948
-668.026215,200,407.630564
-580.956853,200,408.988516
3335.434806,200,410.223741
-597.931336,200,411.79693
-490.679796,200,413.101048
-714.485233,200,414.760721
-798.716253,200,416.525107
-855.361817,200,418.010205
-514.398836,200,419.263711
-584.75029,200,420.768129
-822.184324,200,422.063805
-728.762819,200,423.669728
-611.417683,200,425.001538
